Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.20325	1	0	6	-88.6151
0.20325	1	0	1	-127.302
0.20325	1	0	2	-127.634
0.20325	1	0	3	-130.36
0.20325	1	0	8	-111.77
0.20325	1	0	9	-104.984
0.20325	1	0	7	-105.172
0.2035	1	0	4	-105.119
0.2035	1	0	5	-114.253
0.2035	1	0	6	-88.5734
0.2035	1	0	1	-127.35
0.2035	1	0	2	-127.652
0.2035	1	0	3	-130.331
0.2035	1	0	8	-111.786
0.2035	1	0	9	-104.929
0.2035	1	0	7	-105.172
0.205	1	0	4	-105.12
0.205	1	0	5	-114.219
0.205	1	0	6	-88.4323
0.205	1	0	1	-127.302
0.205	1	0	2	-127.449
0.205	1	0	3	-130.254
0.205	1	0	8	-111.772
0.205	1	0	9	-104.995
0.205	1	0	7	-105.172
0.206	1	0	4	-105.082
0.206	1	0	5	-114.232
0.206	1	0	6	-88.4885
0.206	1	0	1	-127.347
0.206	1	0	2	-127.547
0.206	1	0	3	-130.328
0.206	1	0	8	-111.606
0.206	1	0	9	-104.88
0.206	1	0	7	-105.172
0.2085	1	0	4	-104.736
0.2085	1	0	5	-114.118
0.2085	1	0	6	-88.7505
0.2085	1	0	1	-127.199
0.2085	1	0	2	-127.589
0.2085	1	0	3	-130.338
0.2085	1	0	8	-111.879
0.2085	1	0	9	-104.661
0.2085	1	0	7	-105.172
0.21	1	0	4	-104.66
0.21	1	0	5	-114.249
0.21	1	0	6	-88.8494
0.21	1	0	1	-127.086
0.21	1	0	2	-127.689
0.21	1	0	3	-130.338
0.21	1	0	8	-112.146
0.21	1	0	9	-104.532
0.21	1	0	7	-105.172
0.210018	1	0	4	-104.671
0.210018	1	0	5	-114.268
0.210018	1	0	6	-88.8634
0.210018	1	0	1	-127.083
0.210018	1	0	2	-127.709
0.210018	1	0	3	-130.319
0.210018	1	0	8	-112.144
0.210018	1	0	9	-104.527
0.210018	1	0	7	-105.172
0.21025	1	0	4	-104.648
0.21025	1	0	5	-114.212
0.21025	1	0	6	-88.88
0.21025	1	0	1	-127.058
0.21025	1	0	2	-127.705
0.21025	1	0	3	-130.324
0.21025	1	0	8	-112.11
0.21025	1	0	9	-104.562
0.21025	1	0	7	-105.172
0.210268	1	0	4	-104.655
0.210268	1	0	5	-114.219
0.210268	1	0	6	-88.8659
0.210268	1	0	1	-127.054
0.210268	1	0	2	-127.706
0.210268	1	0	3	-130.315
0.210268	1	0	8	-112.117
0.210268	1	0	9	-104.572
0.210268	1	0	7	-105.172
0.2105	1	0	4	-104.692
0.2105	1	0	5	-114.22
0.2105	1	0	6	-88.8172
0.2105	1	0	1	-127.123
0.2105	1	0	2	-127.738
0.2105	1	0	3	-130.372
0.2105	1	0	8	-112.03
0.2105	1	0	9	-104.634
0.2105	1	0	7	-105.172
0.210518	1	0	4	-104.674
0.210518	1	0	5	-114.213
0.210518	1	0	6	-88.8099
0.210518	1	0	1	-127.129
0.210518	1	0	2	-127.728
0.210518	1	0	3	-130.383
0.210518	1	0	8	-112.03
0.210518	1	0	9	-104.645
0.210518	1	0	7	-105.172
0.21075	1	0	4	-104.646
0.21075	1	0	5	-114.235
0.21075	1	0	6	-88.8473
0.21075	1	0	1	-127.073
0.21075	1	0	2	-127.733
0.21075	1	0	3	-130.388
0.21075	1	0	8	-112.051
0.21075	1	0	9	-104.59
0.21075	1	0	7	-105.172
0.211	1	0	4	-104.658
0.211	1	0	5	-114.206
0.211	1	0	6	-88.8053
0.211	1	0	1	-127.086
0.211	1	0	2	-127.737
0.211	1	0	3	-130.426
0.211	1	0	8	-112.091
0.211	1	0	9	-104.589
0.211	1	0	7	-105.172
0.2125	1	0	4	-104.919
0.2125	1	0	5	-113.909
0.2125	1	0	6	-88.8206
0.2125	1	0	1	-127.067
0.2125	1	0	2	-127.7
0.2125	1	0	3	-130.366
0.2125	1	0	8	-112.205
0.2125	1	0	9	-104.421
0.2125	1	0	7	-105.172
0.21325	1	0	4	-104.911
0.21325	1	0	5	-113.837
0.21325	1	0	6	-88.7714
0.21325	1	0	1	-126.881
0.21325	1	0	2	-127.695
0.21325	1	0	3	-130.379
0.21325	1	0	8	-112.163
0.21325	1	0	9	-104.309
0.21325	1	0	7	-105.172
0.215	1	0	4	-104.854
0.215	1	0	5	-113.755
0.215	1	0	6	-88.6531
0.215	1	0	1	-126.916
0.215	1	0	2	-127.79
0.215	1	0	3	-130.361
0.215	1	0	8	-112.175
0.215	1	0	9	-104.105
0.215	1	0	7	-105.172
0.21525	1	0	4	-104.884
0.21525	1	0	5	-113.752
0.21525	1	0	6	-88.6679
0.21525	1	0	1	-126.96
0.21525	1	0	2	-127.733
0.21525	1	0	3	-130.323
0.21525	1	0	8	-112.013
0.21525	1	0	9	-104.204
0.21525	1	0	7	-105.172
0.215268	1	0	4	-104.926
0.215268	1	0	5	-113.763
0.215268	1	0	6	-88.6555
0.215268	1	0	1	-126.954
0.215268	1	0	2	-127.751
0.215268	1	0	3	-130.339
0.215268	1	0	8	-112.012
0.215268	1	0	9	-104.183
0.215268	1	0	7	-105.172
0.21575	1	0	4	-104.946
0.21575	1	0	5	-113.847
0.21575	1	0	6	-88.7068
0.21575	1	0	1	-126.909
0.21575	1	0	2	-127.836
0.21575	1	0	3	-130.355
0.21575	1	0	8	-112.193
0.21575	1	0	9	-104.135
0.21575	1	0	7	-105.172
0.216	1	0	4	-104.911
0.216	1	0	5	-113.722
0.216	1	0	6	-88.7918
0.216	1	0	1	-126.89
0.216	1	0	2	-127.744
0.216	1	0	3	-130.364
0.216	1	0	8	-112.255
0.216	1	0	9	-104.121
0.216	1	0	7	-105.172
0.218	1	0	4	-105.012
0.218	1	0	5	-113.639
0.218	1	0	6	-88.7956
0.218	1	0	1	-126.757
0.218	1	0	2	-127.703
0.218	1	0	3	-130.258
0.218	1	0	8	-112.026
0.218	1	0	9	-103.964
0.218	1	0	7	-105.172
0.218018	1	0	4	-104.993
0.218018	1	0	5	-113.654
0.218018	1	0	6	-88.8106
0.218018	1	0	1	-126.733
0.218018	1	0	2	-127.696
0.218018	1	0	3	-130.254
0.218018	1	0	8	-112.031
0.218018	1	0	9	-103.961
0.218018	1	0	7	-105.172
0.21825	1	0	4	-105.021
0.21825	1	0	5	-113.632
0.21825	1	0	6	-88.7889
0.21825	1	0	1	-126.807
0.21825	1	0	2	-127.889
0.21825	1	0	3	-130.157
0.21825	1	0	8	-112.041
